문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-70655,2013-04-08,금융위원회 전자금융과,[보도참고] ‘국민행복기금’을 빙자한 보이스피싱 주의!,1. 개요 / □ 최근 금융회사를 사칭 한 후 ‘국민행복기금’을 미끼 로 대출 (대출 상담) 을 유도 하는 휴대폰 문자메시지 (SMS) 가 확산되고 있어 금융소비자의 각별한 주의가 요망,B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,유의)",,
fsc-71012,2014-01-24,전자금융과,[보도참고]카드사 사칭 스미싱 관련 정부합동 주의경보 발령,Ⅰ / 개 요,B,B강,"수법어(사칭) + 경보어(주의,경보)",,
fsc-73846,2019-09-04,전자금융과,"[보도참고] 추석 택배, 소액결제 등을 사칭한 스미싱 피해 주의! - 이통3사와 협업하여 스미싱 피해예방을 위한 문자메시지 발송 -","□ 방송통신위원회 ( 위원장 이효성 ), 과학기술정보통신부 ( 장관 유영민 ), 금융위원회 ( 위원장 최종구 ), 금융감독원 ( 원장 윤석헌 ), 경찰청 ( 청장 민갑룡 ) 은 추석 연휴를 앞두고 택배 배송 확인, 소액 결제 문자 등을 사칭한 스미싱*이 증가할 것으로 ",B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-74037,2019-12-17,전자금융과,"[보도참고] 해외송금대행을 가장한 보이스피싱에 주의하세요! 의심하고, 전화끊고, 확인하고!","- 이동통신 전체가입자 대상 피해예방을 위한 문자메시지 발송 - / 방송통신위원회(위원장 한상혁), 금융위원회(위원장 은성수), 금융감독원(원장 윤석헌), 경찰청(청장 민갑룡)은 최근 해외송금대행 부업 등을 가장한 보이스피싱 피해 가 증가함에 따라, 이용자들의 주의 를",B,B강,"수법어(사칭,가장한,명목으로) + 경보어(주의,수법)",,
fsc-77296,2022-01-20,전자금융과,"[부처합동] 설 명절 택배 배송, 정부 지원금 등을 사칭한 문자결제사기(스미싱)·사기전화(보이스피싱) 주의보 발령!!","설 명절 택배 배송 , 정부 지원금 등을 사칭한 / 문자결제사기 ( 스미싱 )· 사기전화 ( 보이스피싱 ) 주의보 발령 !!",B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,경보)",,
fsc-81462,2024-01-12,금융안전과,[보도참고] 정부부처·유관기관 직원을 사칭한 스미싱 소비자 경보 발령!!!,▣ 소비자경보 2024 - 2호 / 등급,B,B강,"수법어(사칭,빙자,유도) + 경보어(주의,경보)",,
fsc-84947,2025-07-17,금융안전과,[보도자료] 민생회복 소비쿠폰 신청 문자에는 인터넷주소(URL)가 없습니다. 절대 클릭하지 마세요. - 민생회복 소비쿠폰 조회·신청 사칭 스미싱 소비자경보 발령,민생회복 소비쿠폰 신청 문자에는 인터넷주소 (URL) 가 없습니다. / 절대 클릭하지 마세요 .,B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-85338,2025-09-22,금융안전과,2차 소비쿠폰 신청 문자에는 URL이 없습니다. 절대 클릭하지 마세요 - 소비쿠폰 조회·신청 사칭 스미싱 소비자경보 상향(주의→경고),2차 소비쿠폰 신청 문자에는 URL이 없습니다. / 절대 클릭하지 마세요,B,B강,"수법어(사칭,명목으로,유도) + 경보어(주의,경보)",,
fsc-85418,2025-09-30,금융안전과,정부 행정정보시스템 장애와 관련한 금융회사 사칭 스미싱을 주의하세요!,정부 행정정보시스템 장애 와 관련한 / 금융회사 사칭 스미싱 을 주의하세요!,B,B강,"수법어(사칭,명목으로,요구하) + 경보어(주의,경보)",,
fsc-68223,2007-01-23,총괄조정국 복합금융감독실,피싱에 의한 금융사고 주의보 발령,"□ 금융감독원은 지난 1. 19일 특정사이트에 접속한 개인 PC를 해킹하여 다수의 공인인증서를 절취하고, 국내 금융기관 인터넷 뱅킹홈페이지를 모방한 피싱 사이트를 통하여 약 30여명의 금융거래 비밀번호도 절취한 사고가 발생됨에 따라 금융 이용자들에게 피해가 발생되지 않",B,B중,"수법어(유도,요구하) + 경보어(주의,유의)",,
fsc-70533,2012-11-07,금융위원회 전자금융팀,보이스피싱 합동 경보제 시행 및 보험업 허가 정책 관련,"- 피해급증이나 새로운 범죄수법 출현시 SNS, 마을방송, 문자메세지, 반상회 등 국민이 체감할 수 있는 채널로 신속하게 경보 발령 전파 / Ⅰ 검토배경",B,B중,"수법어(사칭,유도) + 경보어(주의,경보)",,
fsc-70622,2013-03-04,금융위원회 전자금융팀,보이스피싱(파밍) 합동 경보 발령!,"□ 최근 ① 파밍에 의한 신종 보이스피싱 피해가 반복적으로 발생 하고, 이에 ② 대국민 유의사항 전파가 필요 하여 제도 시행 이후 최초로 금융위·경찰청·금감원 합동 주의경보 발령 / ※ 합동경보제 : 날로 교묘해지고 지능화되는 보이스피싱 수법에 적극 대응하고 피해확산을",B,B중,"수법어(유도) + 경보어(주의,경보)",,
fsc-71182,2014-06-30,전자금융과,[보도참고]보이스피싱 합동경보 발령,Ⅰ. 보이스피싱 합동경보 발령 / □ ‘보이스피싱 피해방지 종합대책 (‘12.1) ’ 발표 이후 감소세를 보이던 보이스피싱 이 최근들어 다시 증가 하는 모습,B,B중,"수법어(사칭,가장하여,빙자) + 경보어(주의,경보)",,
fsc-73858,2019-09-10,전자금융과,"추석 명절, 보이스피싱에 특히 주의하세요","□ 금융위ㆍ 금감원은 온 가족이 모이는 추석 명절 을 앞두고 ① 가족 · 친지 등을 사칭 하거나 ② 택배 · 결제 문자를 사칭 , ③ 일반 전화번호로 위장 한 보이스피싱 수법이 증가 하고 있어 각별히 주의할 것을 당부 / ① 가족 · 친지 사칭 에 주의",B,B중,"수법어(사칭,유도,요구하) + 경보어(주의,수법)",,
fsc-74142,2020-02-17,전자금융과,"[보도참고] 코로나19 악용 보이스피싱 전화, 스미싱 문자 주의 당부","□ 과학기술정보통신부 , 금융위원회 , 경찰청 은 최근 코로나19 로 인한 국민들의 불안감 등을 악용하는 보이스피싱·스미싱 시도 가 늘고 있어 주의 를 당부 했다. / □ ’마스크 무료배포‘, ’코로나로 인한 택배배송 지연‘ 등 코로나19 정보를 가장한 스미싱 문자 시",B,B중,"수법어(사칭,가장하여,가장한) + 경보어(주의,사기)",,
fsc-74545,2020-09-23,전자금융과,"추석 명절기간 스미싱, 보이스피싱 피해 주의!! - 이통3사와 협업하여 스미싱 피해예방을 위한 문자메시지 발송 -",홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,B,B중,"수법어(사칭,가장한,명목으로) + 경보어(주의,경보)",,
fsc-80401,2023-07-13,전자금융과,[보도자료] 금융당국과 전 금융권이 합심하여 신종 보이스피싱 사기수법에 적극 대처해 나가겠습니다.,"금융당국은 카드사 사칭 비밀번호 요구, 해외결제 빙자 스미싱, 가족납치 명목 금전요구 등 여름 휴가철을 앞두고 예상되는 보이스피싱 사례 및 대처요령을 민관합동 대응체계*를 통해 전 금융권에 전파하여 금융소비자가 휴가철에도 보이스피싱에 대한 경각심을 유지하여 피해를 예방",B,B중,"수법어(사칭,빙자) + 경보어(경보,수법)",,
fsc-81661,2024-02-05,가계금융과,[보도자료] 설 명절 전후 불법사금융·보이스피싱 등 민생침해 금융범죄 피해에 주의하세요!,"금전 수요가 높아지는 설 명절을 앞두고 서민층 의 절박한 상황 을 악용 한 불법사금융 과, 명절 선물 배송 이나 교통 범칙금 납부·경조사 알림 등을 사칭 한 스미싱 , 메신저피싱 범죄 등 이 기승 을 부릴 것으로 예상 된다. / 이러한 민생침해 금융 범죄로부터 안전한 ",B,B중,"수법어(사칭,명목으로,요구하) + 경보어(주의,유의)",,
fsc-83034,2024-09-09,금융안전과,"[보도자료] 정부, 추석명절 보이스피싱 등 사이버사기 대응 요령 안내 - 출처가 불분명한 문자의 인터넷주소(URL)나 전화번호 클릭 주의","과학기술정보통신부 (장관 유상임, 이하 ‘과기정통부’) , 방송통신위원회 (위원장 직무대행 김태규, 이하 ‘방통위’) , 금융위원회 (위원장 김병환, 이하 ‘금융위’) , 경찰청 (청장 조지호) , 한국인터넷진흥원 (원장 이상중, 이하 ‘KISA’) , 금융감독원 (원",B,B중,"수법어(사칭,유도,요구하) + 경보어(주의,수법)",,
fsc-83889,2025-01-20,금융안전과,[보도자료] 설 명절을 겨냥한 문자사기(스미싱) 등 사이버사기 주의!,"설 명절을 겨냥한 문자사기(스미싱) 등 사이버사기 주의! / - 연말정산·설 선물 배송 사칭하는 스미싱 문자 증가, 출처가 불분명한 문자의 인터넷 주소(URL)·전화번호 클릭 주의",B,B중,"수법어(사칭,가장한,명목으로) + 경보어(주의,수법)",,
fsc-85464,2025-10-02,가계금융과,불법사금융 피해자분들은 이걸 제일 많이 물으셨습니다. - 불법사금융 피해 예방부터 대응까지국민 여러분께서 꼭 아셔야 할 유의사항,불법사금융 피해자분들은 이걸 제일 많이 물으셨습니다. / - 불법사금융 피해 예방부터 대응까지,B,B중,"수법어(명목으로,빙자,요구하) + 경보어(유의,사기)",,
fsc-85772,2025-12-01,금융안전과,쿠팡 개인정보 유출사고에 따른 보이스피싱·스미싱 등 피해에 주의하세요.,쿠팡 개인정보 유출사고에 따른 / 보이스피싱·스미싱 등 피해에 주의 하세요.,B,B중,"수법어(사칭,가장하여,유도) + 경보어(주의,경보)",,
fsc-86271,2026-02-12,금융안전과,빗썸 오지급 보상 안내의 URL링크는 사기입니다. - 빗썸 오지급 사고 관련 스미싱 소비자경보 발령 -,빗썸 오지급 보상 안내 의 URL링크 는 사기 입니다. / - 빗썸 오지급 사고 관련 스미싱 소비자경보 발령 -,B,B중,"수법어(사칭,유도,클릭하도록) + 경보어(주의,경보)",,
fsc-86544,2026-03-26,금융안전과,신종수법의 피싱범죄까지 뿌리 뽑을 수 있도록 가용한 행정수단을 총동원하겠습니다. - “7대 비정상*” 중 하나인 보이스피싱 범죄 척결 가속화 -,신종수법의 피싱범죄 까지 뿌리 뽑을 수 있도록 / 가용한 행정수단 을 총동원 하겠습니다.,B,B중,"수법어(가장한,유도) + 경보어(수법,사기)",,
fsc-69954,2011-05-30,금융서비스국 은행과,[보도참고] 보이스피싱 피해 예방을 위한 금융회사 노력 강화,"1. 추진배경 / □ 금융위원회와 금융감독원은 오는 9.30일 보이스피싱 피해구제를 위한 특별법 * 의 시행에 앞서,",B,B약,"수법어(사칭,유도) + 경보어(주의,수법)",,
fsc-70174,2011-12-22,금융위 은행과,피해구제 특별법에 따른 피해환급금 11억원 최초 지급 및 보이스피싱 방지대책 마련을 위한 관계기관 합동 T/F 구성,"1 보이스피싱 피해현황 / □ 국내에서 ’06년부터 발생하기 시작한 보이스피싱은 ‘08년 연간 8,454건까지 증가했다가 ‘09년 이후 감소 추세였으나, 올해 들어 다시 크게 증가",B,B약,수법어(가장한) + 경보어(수법),,
fsc-70215,2012-01-31,금융위 전자금융팀‧금융소비자과‧은행과,금융소비자 보호를 위한 보이스피싱 피해방지 종합대책,<주요내용> / ◇ 금융 분야,B,B약,수법어(사칭) + 경보어(사기),,
fsc-70359,2012-06-05,금융위 전자금융팀,전기통신금융사기 방지대책협의회 1차 회의 개최,1 배경 / □ 1.31일 발표한 보이스피싱 피해방지 종합대책 추진현황 및 향후 대응방안을 논의하기 위해 금일 제1차 전기통신금융사기 방지대책협의회*를 개최,B,B약,수법어(사칭) + 경보어(사기),,
fsc-70599,2013-02-06,금융서비스국 전자금융팀,전기통신금융사기 피해금 환급에 관한 특별법 개정 추진,"1. 개정 배경 / □전기통신금융사기 (보이스피싱) * 피해자에 대한 피해금 환급절차 위주로 규정된 現行 「전기통신금융사기 피해금 환급에 관한 특별법」 을,",B,B약,"수법어(가장한,명목으로,빙자) + 경보어(경보,사기)",,
fsc-70773,2013-07-16,금융서비스국 전자금융과,｢전기통신금융사기 피해금 환급에 관한 특별법 일부개정법률안｣ 국무회의 의결,"Ⅰ . 개 요 / □ 오늘 정부는 ｢ 전기통신금융사기 피해금 환급에 관한 특별법 일부개정법률안 ｣을 국무회의 (‘13.7.16, 제31회) 에서 원안대로 의결 하였음",B,B약,"수법어(가장한,속여,명목으로) + 경보어(경보,사기)",,
fsc-70981,2014-01-08,전자금융과,[보도참고] 도로명주소 변경 보이스피싱 조심하세요!,"□ 금융위원회 (위원장 신제윤)와 안전행정부 (장관 유정복)는 올해 1월 1일부터 전면 사용된 도로명주소와 관련하여 주소 변경을 빙자한 금융사기 에 유의해 줄 것을 국민들께 당부했다. / □ 금융회사는 도로명주소 변경을 위해 고객에게 직접 전화하지 않으며,",B,B약,"수법어(사칭,빙자,유도) + 경보어(주의,유의)",,
fsc-71227,2014-08-13,전자금융과,신·변종 전기통신금융사기 피해방지 종합대책 이행상황 점검,"◈ 전자금융사기 대응 을 위한 범부처 협의체인 전기통신금융사기 방지 대책협의회 는 8.12일 회의를 개최 * 하여 ‘ 신·변종 금융사기 종합 대책 (‘13.12월)’ 의 이행현황 및 성과 를 점검하고, 향후 추진과제 를 마련 / ※ 회의 일시/장소 : ‘14.8.12 ",B,B약,수법어(유도) + 경보어(사기),,
fsc-71390,2014-12-18,전자금융과,금융소비자 보호를 위한 전기통신금융사기 방지대책 발표,"I. 신·변종 금융사기 보완대책 추진현황 / □ 관계부처는 '14.8월 수립한 신·변종 전기통신금융사기 피해방지 보완대책 ? 수립 이후, 각종 대책을 차질 없이 추진 중임",B,B약,"수법어(유도,요구하) + 경보어(사기)",,
fsc-73458,2018-12-18,전자금융과,「전기통신금융사기(보이스피싱) 방지 종합대책」발표,"- 친구, 가족 등 지인 사칭 메신저피싱 주의! 금전요구 메시지 받으면 직접 전화해 확인! - / □ 12.18(화), 정부는 전기통신금융사기 (통칭 ‘보이스피싱’) 대응 을 위한 「전기통신금융사기 방지대책 협의회」를",B,B약,"수법어(사칭) + 경보어(주의,사기)",,
fsc-74306,2020-05-01,전자금융과,[보도참고] 보이스피싱 피해 예방 강화 등을 위한 「전자금융거래법」및「통신사기피해환급법」개정안이 4.29일 국회 본회의를 통과하였습니다.,◈ 보이스피싱 범죄를 예방하고 피해 구제 절차를 효율적으로 운영할 수 있도록 하기 위해 전해철 의원이 발의한 「 전자 금융거래법 」 및 「 통신사기피해환급법 」 개정안이 국회를 통과 (‘20.4.29 일 ) 하였습니다 . / ◈ 이 개정안은 보이스피싱 등 범죄에 이용되,B,B약,"수법어(사칭,유도) + 경보어(주의,사기)",,
fsc-74345,2020-05-25,금융혁신과,[보도참고] 「사이버 보이스피싱 예방 체험관」을 통해 보이스피싱ㆍ금융사기문자로부터 누구나 보호받는 세상을 만들어 가겠습니다.,◈ 금융위원회와 금융감독원은 온라인 「 코리아 핀테크 위크 2020 * 」 (5.28 홈페이지 오픈 ) 의 일환으로 「 사이버 보이스피싱 예방 체험관」 을 개설 / * 5.28( 목 ) 10 시부터 홈페이지 ( www.fintechweek.or.kr/2020 ) 을 통,B,B약,"수법어(사칭,유도) + 경보어(주의,사기)",,
fsc-74440,2020-07-09,가계금융과,"[보도참고] 정세균 국무총리, 불법사금융 근절을 위한 현장방문 및 간담회",홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,B,B약,"수법어(사칭) + 경보어(유의,수법)",,
fsc-74544,2020-09-22,가계금융과,유튜브에서「불법사금융 그만!」채널을 검색하세요,홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,B,B약,"수법어(사칭,유도) + 경보어(주의,수법)",,
fsc-74558,2020-09-29,전자금융과,보이스피싱 피해 방지를 위한 노력을 강화하겠습니다.,홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,B,B약,"수법어(사칭) + 경보어(주의,사기)",,
fsc-75102,2020-12-29,가계금융과,불법사금융 근절 및 피해자 구제 강화를 위한 대부업법 개정안 국무회의 통과,홈페이지 개편으로 인해 이미지 깨짐 현상이 발생하고 있어 조치 중입니다. / 이미지 확인이 필요할 경우 첨부 파일을 확인해 주시기 바랍니다.,B,B약,"수법어(사칭,유도) + 경보어(수법)",,
fsc-77867,2022-06-02,가계금융과,[보도자료] 불법사금융 피해가 걱정되세요? 채무자대리인 및 소송변호사 무료지원 제도가 있습니다!,"주요 내용 / □ ’21년 중 고금리 및 불법채권추심 피해(우려)자 1,200명이 5,611건의 채무자대리인 무료지원 을 신청 하고, 4,841건 에 대해 지원 을 실시하는 등 불법사금융 피해 에 대한 사회적 안전망 으로 자리매김",B,B약,수법어(요구하) + 경보어(사기),,
fsc-78643,2022-09-29,민생침해 금융범죄 대응단,[부처합동] 보이스피싱 범죄 근절을 위한 통신 금융분야 대책 발표,"◇ 정부 , 올해 보이스피싱 범죄자 1 만 6 천여명 검거 , 대포폰 · 통장 등 11 만 5 천여개 범행수단 차단 / - 전년 동기간 대비 발생건수·피해금액 30% 감소 -",B,B약,"수법어(사칭,명목으로) + 경보어(사기)",,
fsc-79636,2023-03-21,서민금융과,[보도자료] 불법사금융 피해를 입지 않도록 「소액생계비대출」을 신청하세요,주요 내용 / □ ’23.3.27(월) 부터 불법사금융 피해를 최소화하기 위해 “소액생계비대출” 을 신규로 출시 합니다.,B,B약,"수법어(사칭,유도,요구하) + 경보어(주의,사기)",,
fsc-79869,2023-04-25,가계금융과,"[보도자료] 2022년 불법사금융 피해 4,510건, 채무자대리인 무료 지원","“불법사금융업자로부터 대출을 받을 당시 직장동료, 친구, 가족들의 전화번호를 알려주었습니다. 이후 원금보다 훨씬 많은 금액을 입금하였음에도 전화와 문자메시지로 폭언 과 ‘가족에게 연락하겠다’는 등의 협박 을 지속적으로 받아 불안한 마음에 잠을 잘 수가 없었습니다. 고민",B,B약,"수법어(가장하여,요구하) + 경보어(사기)",,
fsc-80042,2023-05-25,가계금융과,[부처합동] 불법사금융 척결 및 피해예방을 위한 범정부 노력 강화,□ 정부는 고금리‧불법채권추심 등으로부터 서민‧취약계층을 보호하기 위해 지난해 8월부터 「불법사금융 척결 범정부 TF」를 운영 하여 불법사금융 척결을 위한 다각적인 대응 노력을 지속 해왔다. / □ 최근 금리상승과 어려운 경기 여건에서 민생경제범죄로 인한 서민‧취약계층,B,B약,"수법어(유도) + 경보어(수법,사기)",,
fsc-81231,2023-12-13,금융안전과,[보도참고] 금융당국과 全 금융권이 합심하여 보이스피싱 예방 공익광고를 국민에게 널리 알립니다.,금융당국은 한국방송광고진흥공사(KOBACO)가 2023. 12. 13.(수)부터 방송하기 시작한 보이스피싱 예방 공익광고에 대하여 금융회사 영업점 등 금융권이 보유한 다양한 채널을 통해서도 송출하는 등 공익광고를 활용한 집중 홍보를 추진할 예정이다. / 이에 따라 全 ,B,B약,"수법어(사칭,빙자) + 경보어(사기)",,
fsc-81640,2024-02-01,금융안전과,"[보도참고] 통장협박 등 신·변종 보이스피싱에 대한 신속한 피해구제 절차를 마련하였습니다. - 「통신사기피해환급법」 개정안, 국회 본회의 통과 -","지급정지 제도를 악용한 통장협박 , 간편송금서비스 를 이용한 보이스피싱에 대응 하여 신속한 피해구제 절차를 마련 하고 , 고객의 계좌 개설 시 금융회사의 금융거래목적 확인 을 의무화 하는 「 전기통신금융사기 피해 방지 및 피해금 환급에 관한 특별법 」 ( 이하 ‘ 통신",B,B약,"수법어(빙자,유도) + 경보어(주의,사기)",,
fsc-81712,2024-02-14,금융정보분석원 기획행정실,[보도자료] 가상자산·불법사금융 관련 자금세탁 대응 강화 현황 및 계획,"금융정보분석원 (이하 , FIU) 은 「 FIU 2024년도 업무계획 」(‘24.2.8) * 중 심사 ·분석 분야 정책방향 을 구체화 한 “가상자산 , 불법사금융 관련 자금세탁 대응 강화 현황 및 향후 계획” 을 마련 하여 발표 하였다. / * 「 FIU 2024년도 ",B,B약,"수법어(명목으로,유도) + 경보어(수법)",,
fsc-81745,2024-02-20,가계금융과,[보도참고] 범정부 협력 강화로 불법사금융 끝까지 추적해 처단,"□ 정부는 ’24.2.20(화) 오후 정부서울청사에서 「 불법사금융 척결 범정부 TF」를 개최 하여, ’23년 불법사금융 단속 성과 및 불법사금융 척결 과 제 후속조치 진행 상황을 점검하였다. / * (참석) 국무조정실장(주재)ㆍ과학기술정보통신부ㆍ법무부ㆍ방송통신위원회ㆍ",B,B약,수법어(사칭) + 경보어(수법),,
fsc-82077,2024-04-05,금융안전과,[보도자료] 보이스피싱 등 금융범죄 피해 예방을 위해 통신·금융 부문 간 상호협력을 강화해 나가겠습니다.,"정보통신 기술 의 발전 에 힘입어 금융거래 는 한층 편리 해지고 있으나, 그에 상응하여 보이스피싱 등 금융범죄 위험 * 도 증가 하고 있다. 이제는 통신 과 금융 부문 이 피해 예방을 위해 공동 대응 해야 할 필요성 이 대두되고 있다. / * 예시) 악성앱 등으로 피해",B,B약,"수법어(사칭) + 경보어(경보,유의)",,
fsc-82132,2024-04-17,금융데이터정책과,[보도자료] 보이스피싱 피해 예방을 위한 ｢금융거래 안심차단 서비스｣ 도입 추진,2024년 4월17일(수) 개최된 제7차 금융위원회 정례회의 에서「 신용정보업감독규정 」 일부개정규정안이 의결 되었으며 주요 내용은 다음과 같다. / ◇ 금융거래 안심차단서비스 도입으로 보이스피싱 피해 차단,B,B약,수법어(사칭) + 경보어(사기),,
fsc-82204,2024-05-02,금융안전과,"[보도자료] “보이스피싱, 미리 알고 대비하면 막을 수있어요!” -정부,「5월 가정의달」보이스피싱 집중 홍보기간 운영","□ 정 부 는 순간적인 실수로 피해가 발생하고, 피해회복이 어려운 보이스 피싱 범죄의 특성에 따라 「5월 가정의달」을 집중 홍보기간으로 정 하고, 신종수법과 대응 방안을 적극적으로 홍보하는데 관계기 관과 함께 범정부 차원의 역량을 집중 한다. / ㅇ 최 근 학생 및 청",B,B약,"수법어(사칭,빙자,유도) + 경보어(주의,경보)",,
fsc-82392,2024-06-03,금융안전과,"[보도자료] 보이스피싱, 민관이 힘을 모아 AI·데이터로 막는다","보이스피싱 민생범죄 확산에 대응 하는 다양한 AI 기술·서비스 개발 을 위해 관계기관 이 협력 한다. 이를 통해 보이스피싱 통화 데이터 등 실제 데이터가 인공지능(AI) 시스템 개발에 활용될 전망이다. / 개인정보보호위원회 (위원장 고학수, 이하 ‘개인정보위’) , 과",B,B약,"수법어(사칭,요구하) + 경보어(유의,수법)",,
fsc-82633,2024-07-08,금융안전과,"[보도자료] 민생침해 금융범죄 척결을 위한 범정부 노력 지속 - 방기선 국무조정실장, 보이스피싱 대응‧불법사금융 척결 TF 연석회의 개최","◇ 민생침해 금융범죄 척결을 위한 범정부 노력 지속 - 방기선 국무조정실장, 보이스피싱 대응‧불법사금융 척결 TF 연석회의 개최 / ‣ 보이스피싱 집중수사와 국제공조, 불법스팸 발송업체 관리‧제재 강화, 7월부터 여신거래 안심차단 서비스 시작. AI활용 피싱범죄 감지기",B,B약,"수법어(사칭) + 경보어(수법,사기)",,
fsc-82947,2024-08-23,금융안전과,[보도자료] 나도 모르게 실행된 대출 이제는 사전에 차단할 수 있습니다. - 보이스피싱 피해 방지를 위한 ｢여신거래 안심차단｣ 서비스 시행(8.23일),나도 모르게 실행된 대출 / 이제는 사전에 차단할 수 있습니다 .,B,B약,"수법어(유도,설치하도록) + 경보어(수법,사기)",,
fsc-83035,2024-09-09,금융안전과,"[보도자료] 정부, 추석 연휴 기간 대비 보이스피싱 대응체계 점검","◇ 정부, 추석 연휴 기간 대비 보이스피싱 대응체계 점검 / - 특별 자수기간(9.9~10.31) 운영, 해외거점 조직 추적 단서 적극 수집",B,B약,"수법어(사칭) + 경보어(경보,수법)",,
fsc-83065,2024-09-11,가계금융과,"[보도자료] 정부, 불법사금융 척결을 위해 대부업 제도 대대적 개편 추진 - 9.11일(수) 「불법사금융 척결 및 대부업 제도개선방안」 발표","정부, 불법사금융 척결을 위해 / 대부업 제도 대대적 개편 추진",B,B약,"수법어(사칭) + 경보어(주의,유의)",,
fsc-83647,2024-12-17,가계금융과,[참고자료] 불법사금융 피해예방과 피해자 보호 및 단속‧처벌을 강화하겠습니다.,불법사금융 피해예방과 피해자 보호 및 단속‧처벌을 강화하겠습니다. / ▶ 불법사금융 피해 대응 및 피해 예방 을 위한 대국민 집중 홍보,B,B약,"수법어(사칭,유도,요구하) + 경보어(유의,수법)",,
fsc-83742,2024-12-27,가계금융과,[보도참고]불법사금융을 뿌리뽑기 위한 「대부업법」 개정안 국회 본회의 통과 (‘24.12.27일),"불법사금융을 뿌리뽑기 위한 「대부업법」 개정안 국회 본회의 통과 (‘24.12.27일) /  불법사금융에 대한 처벌 강화 , 반사회적 대부계약 에 대한 원본·이자 무효화 등 불법사금융을 근본적으로 척결 하고 믿을 수 있는 건전한 대부업 시장 을 구축 하기 위한 대부업",B,B약,"수법어(사칭) + 경보어(주의,사기)",,
fsc-83905,2025-01-23,가계금융과,"[보도자료] 김병환 금융위원장, ｢불법사금융 근절과 건전 대부시장 활성화를 위한 현장 간담회｣ 개최","김병환 금융위원장, ｢불법사금융 근절과 / 건전 대부시장 활성화를 위한 현장 간담회｣ 개최",B,B약,수법어(빙자) + 경보어(주의),,
fsc-84123,2025-03-12,금융안전과,[보도자료] “나도 모르게 개설되는 계좌” 이제는 사전에 차단할 수 있습니다. - 보이스피싱 피해 방지를 위한 ｢비대면 계좌개설 안심차단｣ 서비스 시행,“나도 모르게 개설되는 계좌” / 이제는 사전에 차단할 수 있습니다 .,B,B약,수법어(사칭) + 경보어(사기),,
