문서id,발행일,담당부서,제목,앞두문장,자동제안,강도,자동근거,확정분류(사람이 채움),비고
fsc-68086,2006-10-24,비은행감독국,불법사금융 피해방지를 위한 사회적 공감대 확산,"□ 금융감독원이 실시하는 불법사금융 피해방지 교육활동에 언론·사회단체·금융회사 등이 참여하는 등 금융이용자의 피해를 방지하려는 분위기가 사회전반에 걸쳐 확산되고 있음 / ◦ 금감원의 불법사금융 피해방지 관련 금융교육은 ‘04년 6회, ’05년 20회, ‘06년(1월～1",C,C,B·A 요건 미달,,
fsc-69946,2011-05-20,금융서비스국 은행과,「전기통신금융사기 피해금 환급에 관한 특별법 시행령」 제정 추진,1. 추진배경 / □ ‘11.9.30일 시행 예정인 「전기통신금융사기 피해금 환급에 관한 특별법(’11.3.29일 공포)」(이른바 “보이스피싱 피해구제법”)에서 위임한 사항 등을 정하기 위하여 동법 시행령 제정을 추진,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-70025,2011-08-12,금융위 은행과,전화금융사기(보이스피싱) 지급정지는 112로 신청하세요!,"- 8.16일부터 서울지역 우선 시행, 금년 하반기중 전국 확대 / -「전기통신금융사기 피해금 환급에 관한 특별법 시행령」 차관회의 통과",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-70084,2011-09-29,금융위 은행과,11.9.30일부터 전화금융사기(보이스피싱) 피해금 환급제도 시행,"1 피해금 환급제도 / □ ‘11.9.30일부터 「전기통신금융사기 피해금 환급에 관한 특별법」이 시행됨에 따라,",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-70118,2011-11-01,금융위 은행과,「전기통신금융사기 피해금환급에 관한 특별법」 시행 1개월,"1. 시행 경과 / □ ‘11.9.30 「전기통신금융사기 피해금 환급에 관한 특별법」 시행 이후, 1개월 동안 1,949건, 약 46억원에 해당하는 피해금액에 대하여 피해구제가 요청되어 지급정지 조치가 이루어짐",C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-70295,2012-04-17,금융위 서민금융과,「 불법사금융 피해신고센터 」 설치 ·운영,1 「불법사금융 피해신고센터」설치 / □ (신고센터) 금감원에「불법사금융 피해신고센터」를 설치*하여 피해자 신고 접수 및 상담·금융지원 등 컨설팅을 제공할 예정,C,C,경보어는 있으나 수법 묘사 없음(사기),,
fsc-70314,2012-04-30,금융위 서민금융과,금융위원장 불법사금융 피해신고센터 방문 및 사금융 피해자 간담회 실시,"□ ‘12.4.30(월) 김석동 금융위원장은「불법사금융 피해신고센터」와 신용회복위원회 명동지부를 방문하였음 / ㅇ「불법사금융 피해신고센터」에서는 피해상담·신고접수 현황을 점검하고, 근무중인 직원들을 격려(☞ 별첨 1 : 불법사금융 상담·신고 접수 현황)",C,C,B·A 요건 미달,,
fsc-70421,2012-08-02,금융서비스국 전자금융팀,2012년 상반기 보이스피싱 피해현황 및 향후 대응방향,"1 보이스피싱 피해 및 환급현황 / □ `12년 상반기중 보이스피싱 피해 건수 및 금액은 4,041건, 446억원 규모로 지난해 하반기에 비해 건수 및 피해금액 모두 소폭 감소",C,C,B·A 요건 미달,,
fsc-70568,2012-12-17,서민금융과,"범정부 불법사금융 척결 대책 추진, 1만명 검거 - 불법사금융 척결 대책 지속적 추진 -","□ 김황식 국무총리는 연말을 맞이하여 불법사금융 척결의지를 강조하기 위한 국무총리 주재 현장보고회를 개최하여 그동안의 추진상황을 점검하고 향후 추진계획을 논의하였음 / ㅇ 일시 및 장소 : ’12.12.17(월) 15:00, 금융감독원 대회의실",C,C,B·A 요건 미달,,
fsc-70931,2013-12-03,금융위원회 전자금융과,신·변종 전기통신금융사기 피해방지 종합대책,1. 그간 추진현황 및 성과 / □ 그간 정부는 전기통신금융사기 대응 을 위해 금융위 주관의 범부처 대책협의회 * 를 구성 하여 관련 정책들을 체계적으로 추진해 왔음,C,C,"경보어는 있으나 수법 묘사 없음(수법,사기)",,
